match,home_team,away_team,market_name,player_name,player_team,line,over_price,under_price,prop_id,under_prop_id,agency,opposition_team
New Zealand Breakers v Adelaide 36ers,New Zealand Breakers,Adelaide 36ers,Player Rebounds,Bryce Cotton,Adelaide 36ers,3.5,2.25,NA,589418,NA,TAB,New Zealand Breakers
New Zealand Breakers v Adelaide 36ers,New Zealand Breakers,Adelaide 36ers,Player Rebounds,Bryce Cotton,Adelaide 36ers,5.5,7,NA,589438,NA,TAB,New Zealand Breakers
Tasmania JackJumpers v South East Melbourne Phoenix,Tasmania JackJumpers,South East Melbourne Phoenix,Player Rebounds,Bryce Hamilton,Tasmania JackJumpers,9.5,15,NA,590005,NA,TAB,South East Melbourne Phoenix
Tasmania JackJumpers v South East Melbourne Phoenix,Tasmania JackJumpers,South East Melbourne Phoenix,Player Rebounds,Bryce Hamilton,Tasmania JackJumpers,3.5,1.3,NA,589952,NA,TAB,South East Melbourne Phoenix
Tasmania JackJumpers v South East Melbourne Phoenix,Tasmania JackJumpers,South East Melbourne Phoenix,Player Rebounds,Bryce Hamilton,Tasmania JackJumpers,5.5,2.5,NA,589970,NA,TAB,South East Melbourne Phoenix
Tasmania JackJumpers v South East Melbourne Phoenix,Tasmania JackJumpers,South East Melbourne Phoenix,Player Rebounds,Bryce Hamilton,Tasmania JackJumpers,7.5,6.5,NA,589987,NA,TAB,South East Melbourne Phoenix
New Zealand Breakers v Adelaide 36ers,New Zealand Breakers,Adelaide 36ers,Player Rebounds,Dejan Vasiljevic,Adelaide 36ers,3.5,3,NA,589419,NA,TAB,New Zealand Breakers
New Zealand Breakers v Adelaide 36ers,New Zealand Breakers,Adelaide 36ers,Player Rebounds,Dejan Vasiljevic,Adelaide 36ers,5.5,11,NA,589440,NA,TAB,New Zealand Breakers
New Zealand Breakers v Adelaide 36ers,New Zealand Breakers,Adelaide 36ers,Player Rebounds,Flynn Cameron,Adelaide 36ers,3.5,1.55,NA,589420,NA,TAB,New Zealand Breakers
New Zealand Breakers v Adelaide 36ers,New Zealand Breakers,Adelaide 36ers,Player Rebounds,Flynn Cameron,Adelaide 36ers,5.5,3.5,NA,589441,NA,TAB,New Zealand Breakers
New Zealand Breakers v Adelaide 36ers,New Zealand Breakers,Adelaide 36ers,Player Rebounds,Flynn Cameron,Adelaide 36ers,7.5,10,NA,589459,NA,TAB,New Zealand Breakers
Tasmania JackJumpers v South East Melbourne Phoenix,Tasmania JackJumpers,South East Melbourne Phoenix,Player Rebounds,Hunter Maldonado,South East Melbourne Phoenix,3.5,1.75,NA,589962,NA,TAB,Tasmania JackJumpers
Tasmania JackJumpers v South East Melbourne Phoenix,Tasmania JackJumpers,South East Melbourne Phoenix,Player Rebounds,Hunter Maldonado,South East Melbourne Phoenix,5.5,4,NA,589980,NA,TAB,Tasmania JackJumpers
Tasmania JackJumpers v South East Melbourne Phoenix,Tasmania JackJumpers,South East Melbourne Phoenix,Player Rebounds,Hunter Maldonado,South East Melbourne Phoenix,7.5,11,NA,589998,NA,TAB,Tasmania JackJumpers
New Zealand Breakers v Adelaide 36ers,New Zealand Breakers,Adelaide 36ers,Player Rebounds,Isaac Humphries,Adelaide 36ers,9.5,7.5,NA,589480,NA,TAB,New Zealand Breakers
